chr7	149330000	149335000	chr7	149470000	149475000
chr10	59369694	59371447	chr10	59420020	59421577
chr2	5915884	5917554	chr2	6113621	6115254
chr6	86076460	86077935	chr6	86279489	86280751
chr13	73855361	73856683	chr13	74163310	74164515
chr2	65251112	65253894	chr2	65404386	65406391
chr1	159675325	159676617	chr1	160583708	160585517
chr3	142300000	142305000	chr3	142365000	142370000
chr5	120873620	120876351	chr5	120884444	120889420
chr1	179338523	179339623	chr1	179613874	179615891
chr12	73561937	73563735	chr12	73793918	73796725
chr14	51795778	51796658	chr14	51885414	51886353
chr2	70541863	70543899	chr2	70877199	70878636
chr8	123636646	123638275	chr8	124036677	124038309
chr8	73964776	73966850	chr8	73986513	73989455
chr8	79943189	79944817	chr8	80048361	80049641
chr14	31403945	31405559	chr14	31484648	31485986
chr7	25257362	25260976	chr7	25349189	25350471
chr7	6610000	6620000	chr7	7250000	7260000
chr9	45223513	45226311	chr9	45636240	45638110
chr1	37747100	37748646	chr1	37858921	37859876
chr12	119695543	119697230	chr12	120091555	120095350
chr7	26025000	26030000	chr7	26060000	26065000
chr2	33424316	33425638	chr2	33496106	33500008
chr7	105890000	105895000	chr7	105925000	105930000
chr14	64667558	64668852	chr14	64688277	64690351
chr7	114804270	114805859	chr7	114890910	114893808
chr12	58381946	58383411	chr12	58615012	58617762
chr3	91025000	91030000	chr3	91115000	91120000
chr1	169871610	169873694	chr1	170143500	170145396
chr5	27401089	27403540	chr5	27978333	27979599
chr1	191526629	191527794	chr1	191796203	191797855
chr9	57009869	57011402	chr9	57056649	57058043
chr10	126669724	126671010	chr10	126748151	126750239
chr1	120523917	120525380	chr1	120543790	120545830
chr1	136885473	136886874	chr1	137004734	137006077
chr5	149157623	149158925	chr5	149180630	149181469
chr12	32660948	32662253	chr12	32930272	32931572
chr5	143534994	143535935	chr5	143543634	143545263
chr19	46949681	46951276	chr19	47061669	47064225
chr14	77097995	77099424	chr14	77139087	77141159
chr6	121287556	121289187	chr6	121316142	121317302
chr6	36641073	36642320	chr6	36853314	36854660
chr2	63351064	63352642	chr2	64691304	64692861
chr11	84336262	84341220	chr11	84398601	84400307
chr10	12409924	12411444	chr10	12638642	12639897
chr10	41237635	41240464	chr10	41398034	41399512
chr5	39045541	39048013	chr5	39087462	39088767
chr9	30749229	30751993	chr9	30888935	30890857
chrX	100455000	100460000	chrX	100635000	100640000
chr15	36292028	36293599	chr15	36417980	36419221
chr12	120664822	120666276	chr12	121219369	121221161
chr11	3901115	3902104	chr11	3993876	3995792
chr5	35704009	35705407	chr5	35852680	35854077
chr16	57115725	57117148	chr16	57176836	57178196
chr4	132500662	132503088	chr4	132560605	132562019
chr17	22219924	22220920	chr17	22547203	22548575
chr10	127930415	127931953	chr10	127935353	127936798
chr9	62142346	62143670	chr9	62400596	62401981
chr14	70937177	70938720	chr14	70948562	70950045
chr7	6191009	6193424	chr7	6233794	6235930
chr19	9155705	9157970	chr19	9182623	9185649
chr14	13170298	13171109	chr14	13175497	13180326
chr13	30363745	30365102	chr13	30622098	30623488
chr12	9585605	9589907	chr12	10444137	10445632
chr8	87979851	87981872	chr8	88049401	88051875
chr2	68622245	68624560	chr2	68898729	68900204
chr3	147518831	147520104	chr3	147666087	147667964
chr7	151793388	151794488	chr7	151882294	151883816
chr2	177871854	177873203	chr2	178072019	178074543
chr9	40797864	40798946	chr9	40998546	41000017
chr1	152479213	152480434	chr1	152766828	152768364
chr10	80912301	80913876	chr10	80988882	80990206
chr9	30749229	30751993	chr9	30893167	30894914
chr8	9227242	9228644	chr8	9579758	9580850
chr12	80018861	80021472	chr12	80106908	80108812
chr9	106433509	106435115	chr9	106500432	106501644
chr12	82896983	82898371	chr12	82960023	82962019
chr9	72891191	72894052	chr9	72938971	72940392
chr10	23697606	23700177	chr10	23799523	23800697
chr5	101449370	101450739	chr5	102095260	102099191
chr6	61012618	61014017	chr6	61250854	61252594
chrX	34303230	34304474	chrX	34350950	34352157
chr2	156730386	156731632	chr2	156816193	156818595
chr15	8394911	8396681	chr15	8526967	8528402
chr15	79861125	79862265	chr15	79894955	79897893
chr10	92513068	92514706	chr10	92881289	92883264
chr9	121158755	121159619	chr9	121282270	121284570
chr11	40349296	40350664	chr11	40413195	40415817
chr14	67009269	67010240	chr14	67409049	67411370
chr15	101171765	101173181	chr15	101327080	101328470
chr4	108542116	108543713	chr4	108648239	108649875
chr9	102570149	102571840	chr9	102591415	102593808
chr19	42119113	42120608	chr19	42239880	42241528
chr2	93314578	93316161	chr2	93649722	93650906
chr12	106222896	106224065	chr12	106262004	106264392
chr4	144786084	144787546	chr4	144803406	144805823
chr13	55430351	55433182	chr13	55438314	55440441
chr13	38434003	38435698	chr13	38671559	38673406
chr2	181145257	181146600	chr2	181230616	181232682
chr7	56387745	56389138	chr7	56527377	56528862
chr3	95769140	95770804	chr3	95854871	95856666
chr8	46865356	46866781	chr8	47019166	47021027
chr6	30484864	30486724	chr6	30932015	30933524
chr15	75378540	75380615	chr15	75490171	75491511
chr7	134208682	134209951	chr7	134247060	134249135
chr14	4460000	4470000	chr14	6210000	6220000
chr18	60802672	60804033	chr18	60839217	60841568
chr2	180443080	180444608	chr2	180461138	180463322
chr2	33812690	33814155	chr2	34494210	34495636
chr4	118697818	118700004	chr4	118742393	118749475
chr7	139417713	139420172	chr7	139662481	139663894
chr14	56154523	56155926	chr14	56175340	56176650
chr3	128909316	128911582	chr3	128916241	128921195
chr4	133951260	133953062	chr4	134033258	134034773
chr7	150649172	150653066	chr7	150690906	150693472
chr18	65494868	65495526	chr18	65648743	65651182
chr9	107259335	107261147	chr9	107412383	107413285
chr2	49213870	49215758	chr2	49582180	49583554
chr10	76085452	76087114	chr10	76190426	76191944
