chr7	79689594	79689818	chr7	80083079	80083343
chr8	145693049	145693384	chr8	145734967	145735414
chr10	105211704	105211846	chr10	105241646	105242087
chr14	69727768	69728267	chr14	69926789	69927267
chr2	109471745	109472163	chr2	110267504	110268111
chr6	153275682	153275863	chr6	153345619	153345931
chr11	6401030	6401232	chr11	6464589	6465044
chr5	136680528	136680728	chr5	136834916	136835181
chr11	62379914	62380325	chr11	62462136	62462738
chr1	233654098	233654485	chr1	233926676	233927455
chr21	46220978	46221278	chr21	46352188	46352995
chr10	11453975	11454303	chr10	11514080	11514680
chr5	172411142	172411790	chr5	172571375	172571606
chr5	131841798	131842371	chr5	132155239	132155409
chr15	75149500	75149965	chr15	75193838	75194345
chr6	159290510	159290826	chr6	159331519	159331710
chr13	96672326	96672807	chr13	97469533	97469961
chr3	42160264	42160750	chr3	42271336	42271688
chr20	61300268	61300408	chr20	61439674	61439935
chrX	102466007	102466256	chrX	102503574	102503886
chr4	89447426	89447665	chr4	89945123	89945703
chr12	51701552	51701696	chr12	51734918	51735760
chr2	204090007	204090230	chr2	204318355	204318905
chr7	44281015	44281166	chr7	44516959	44517283
chr19	18580482	18580726	chr19	18977404	18977605
chr17	1358314	1359035	chr17	1418623	1420073
chr14	74828835	74829842	chr14	74959852	74960015
chr16	85061709	85061874	chr16	85120300	85120747
chr1	32029662	32030129	chr1	32083804	32084008
chr10	14598358	14598760	chr10	14625276	14625521
chr22	25758158	25758412	chr22	25843886	25844049
chr15	67393472	67393771	chr15	67532572	67533013
chr6	29617916	29618133	chr6	29664305	29664663
chr4	95254213	95254421	chr4	95311916	95312326
chr14	75773688	75774079	chr14	75955869	75956020
chr1	150457475	150457622	chr1	150952006	150952298
chr19	19516129	19516375	chr19	19586713	19586970
chr8	131776809	131777068	chr8	131840613	131840925
chr11	26003486	26003970	chr11	26155636	26155890
chr3	133537679	133538316	chr3	133646230	133646837
chr20	17661871	17662110	chr20	17879122	17879477
chr6	45757045	45757225	chr6	45890462	45891080
chr10	118976048	118976786	chr10	119209112	119209307
chr12	6542184	6542425	chr12	6571143	6571284
chr6	11655898	11656246	chr6	12289376	12289550
chr8	142096447	142096744	chr8	142170973	142171310
chr7	128982746	128983330	chr7	129016699	129016877
chr12	10162232	10162376	chr12	10292561	10293019
chr15	68852025	68852234	chr15	69217146	69217577
chr17	72653486	72653913	chr17	72733745	72734088
chr2	38830246	38831130	chr2	38893654	38893906
chr1	4716477	4716757	chr1	4886125	4886452
chr16	89766517	89766844	chr16	89976794	89977004
chr12	95104745	95105034	chr12	95158045	95158453
chr2	219166457	219166617	chr2	219221330	219221641
chr16	24987023	24987166	chr16	25118248	25118528
chr1	11724109	11724418	chr1	11779378	11780289
chr2	188364641	188365124	chr2	188446212	188446510
chr13	40600399	40600592	chr13	40633740	40633962
chr2	102409916	102410092	chr2	102447674	102448151
chr3	186737455	186737628	chr3	186783170	186783461
chr6	99217463	99217839	chr6	99293542	99294118
chr15	58335356	58335732	chr15	58513927	58514125
chr2	175327449	175327876	chr2	175411492	175411632
chr3	171421721	171422332	chr3	171551945	171552297
chr1	114378308	114378744	chr1	114447250	114447390
chr15	46007801	46008017	chr15	46082562	46082864
chr15	39464916	39465056	chr15	39872223	39872862
chr18	10006306	10006528	chr18	10519661	10520659
chr17	75136403	75136736	chr17	75208609	75208954
chr2	45870543	45871399	chr2	46052219	46052501
chrX	51079489	51079741	chrX	51163554	51163815
chr4	40978304	40978671	chr4	41216591	41216853
chr15	67402841	67403063	chr15	67426422	67426706
chr15	80215406	80215779	chr15	80263087	80263699
chr15	57853224	57853543	chr15	57948113	57948282
